Datetime,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
6/1/2017,136,83,100,16,1,61,200
6/2/2017,90,44,49,11,0.6,31,148
6/3/2017,86,15,36,11,0.4,27,144
6/4/2017,77,14,31,10,0.5,19,133
6/5/2017,60,17,29,9,0.5,23,112
6/6/2017,54,30,41,8,0.7,31,105
6/7/2017,155,59,63,13,0.9,39,220
6/8/2017,160,79,66,12,0.9,37,225
6/9/2017,149,67,72,12,1,40,214
6/10/2017,48,27,25,8,0.7,38,76
6/11/2017,75,13,18,8,0.5,18,131
6/12/2017,63,12,16,7,0.5,25,116
6/13/2017,52,17,21,7,0.6,35,103
6/14/2017,60,21,33,8,0.5,31,113
6/15/2017,80,32,46,9,0.6,41,137
6/16/2017,88,34,44,9,0.5,27,146
6/17/2017,108,31,42,11,0.5,28,169
6/18/2017,73,27,41,10,0.5,18,128
6/19/2017,46,17,25,7,0.6,27,93
6/20/2017,48,26,25,8,0.6,34,97
6/21/2017,50,33,35,8,0.7,33,81
6/22/2017,55,12,14,6,0.5,25,107
6/23/2017,75,55,47,7,0.8,49,64
6/24/2017,60,34,30,7,0.8,49,80
6/25/2017,66,49,46,8,0.9,48,50
6/26/2017,119,93,82,11,1.1,50,133
6/27/2017,123,96,75,10,1.1,49,167
6/28/2017,87,50,43,8,0.9,34,145
6/29/2017,51,33,31,7,0.8,37,102
6/30/2017,100,34,44,8,0.8,43,161
7/1/2017,104,45,54,8,0.8,39,165
7/2/2017,62,22,39,7,0.6,23,115
7/3/2017,101,26,39,8,0.6,26,162
7/4/2017,70,21,35,9,0.6,25,125
7/5/2017,108,29,48,9,0.8,41,169
7/6/2017,125,28,47,9,0.7,33,188
7/7/2017,110,29,55,9,0.7,30,171
7/8/2017,98,29,51,9,0.7,31,158
7/9/2017,68,21,43,10,0.6,26,122
7/10/2017,50,20,41,8,0.6,31,101
7/11/2017,119,26,44,9,0.6,30,181
7/12/2017,159,38,62,10,0.7,36,224
7/13/2017,176,44,72,12,0.8,39,241
7/14/2017,156,45,74,10,0.8,44,221
7/15/2017,141,35,58,9,0.7,22,206
7/16/2017,139,22,47,9,0.6,18,203
7/17/2017,75,15,41,9,0.5,18,131
7/18/2017,149,44,81,11,0.8,58,214
7/19/2017,148,42,70,13,0.7,39,213
7/20/2017,166,38,65,14,0.7,33,231
7/21/2017,200,43,76,15,0.8,38,268
7/22/2017,164,50,80,16,0.8,37,229
7/23/2017,201,42,69,15,0.8,40,273
7/24/2017,205,45,76,16,0.9,42,295
7/25/2017,165,55,86,15,0.9,35,230
7/26/2017,122,56,62,8,0.9,23,185
7/27/2017,98,46,61,11,0.8,23,158
7/28/2017,48,18,32,8,0.6,17,96
7/29/2017,35,19,31,8,0.6,14,71
7/30/2017,33,17,32,7,0.6,12,62
7/31/2017,40,17,39,6,0.6,10,81
8/1/2017,47,20,46,6,0.6,12,92
8/2/2017,54,20,40,7,0.6,13,105
8/3/2017,140,27,47,8,0.7,17,204
8/4/2017,146,41,60,8,0.8,33,211
8/5/2017,83,65,74,7,1.2,66,109
8/6/2017,172,84,80,10,1.3,48,237
8/7/2017,193,79,95,10,1.1,39,258
8/8/2017,58,35,47,9,1,46,103
8/9/2017,47,18,26,7,0.8,38,86
8/10/2017,173,42,56,10,1,38,238
8/11/2017,189,64,83,10,1,51,254
8/12/2017,94,44,53,8,0.7,28,153
8/13/2017,75,32,45,8,0.7,30,131
8/14/2017,70,17,31,8,0.8,36,124
8/15/2017,138,57,70,9,1.1,40,202
8/16/2017,95,33,41,9,0.8,38,154
8/17/2017,115,26,43,10,0.8,49,177
8/18/2017,143,22,37,8,0.7,35,208
8/19/2017,143,35,55,9,0.7,29,208
8/20/2017,46,15,28,6,0.7,37,80
8/21/2017,73,30,42,9,0.8,40,128
8/22/2017,25,10,25,6,0.6,17,50
8/23/2017,35,9,29,6,0.5,15,71
8/24/2017,120,22,42,8,0.7,27,183
8/25/2017,95,30,47,9,0.9,44,154
8/26/2017,70,14,29,8,0.7,20,124
8/27/2017,60,13,31,9,0.6,21,112
8/28/2017,127,19,41,9,0.6,28,190
8/29/2017,52,18,37,10,0.6,25,103
8/30/2017,48,9,32,8,0.5,20,97
8/31/2017,76,16,35,8,0.6,20,132
9/1/2017,85,20,42,8,0.7,20,143
9/2/2017,82,20,41,9,0.7,20,139
9/3/2017,59,12,31,10,0.6,20,111
9/4/2017,55,10,32,8,0.6,20,106
9/5/2017,104,24,56,10,0.7,34,165
9/6/2017,78,58,76,13,1.1,48,110
9/7/2017,48,22,25,7,0.8,40,76
9/8/2017,68,17,28,8,0.7,32,122
9/9/2017,57,27,38,9,0.8,27,109
9/10/2017,80,28,43,9,0.7,27,137
9/11/2017,48,25,30,7,1,39,75
9/12/2017,83,24,40,8,0.8,25,140
9/13/2017,88,33,48,8,0.8,20,146
9/14/2017,86,16,42,8,0.6,16,144
9/15/2017,44,15,37,6,0.6,18,89
9/16/2017,70,15,38,8,0.6,17,125
9/17/2017,76,19,44,9,0.7,32,132
9/18/2017,168,56,91,13,1,55,233
9/19/2017,141,69,88,11,1,49,206
9/20/2017,53,25,25,7,0.7,36,104
9/21/2017,50,16,24,8,0.7,40,100
9/22/2017,83,26,48,11,0.8,67,65
9/23/2017,62,28,34,10,0.7,49,98
9/24/2017,46,12,12,7,0.7,36,78
9/25/2017,56,11,13,7,0.8,45,46
9/26/2017,95,55,69,10,1.2,59,154
9/27/2017,67,48,49,9,1,35,108
9/28/2017,60,16,45,10,0.7,50,81
9/29/2017,68,18,45,10,0.7,55,122
9/30/2017,48,14,27,8,0.6,38,85
10/1/2017,70,23,46,8,0.7,28,124
10/2/2017,43,26,37,8,0.9,34,77
10/3/2017,50,11,50,7,0.6,17,92
10/4/2017,48,9,34,7,0.5,17,96
10/5/2017,42,16,33,8,0.6,34,83
10/6/2017,71,54,66,16,1.3,52,104
10/7/2017,86,47,54,11,0.9,46,144
10/8/2017,58,22,28,10,0.7,34,110
10/9/2017,43,23,37,9,0.7,35,72
10/10/2017,42,18,40,7,0.6,26,84
10/11/2017,36,15,21,6,0.8,26,73
10/12/2017,45,13,29,7,0.6,28,91
10/13/2017,45,9,30,7,0.5,22,91
10/14/2017,60,13,37,8,0.6,20,113
10/15/2017,50,7,13,7,0.6,16,101
10/16/2017,43,8,15,7,0.6,17,87
10/17/2017,47,16,40,8,0.6,28,94
10/18/2017,46,22,45,9,0.7,33,91
10/19/2017,46,25,40,11,0.8,37,81
10/20/2017,59,18,34,9,0.6,30,111
10/21/2017,88,30,48,10,0.9,27,146
10/22/2017,80,62,78,10,1.1,29,130
10/23/2017,58,31,65,12,0.8,41,83
10/24/2017,56,22,50,11,0.7,42,108
10/25/2017,70,26,46,9,0.8,57,123
10/26/2017,72,27,40,12,0.7,58,104
10/27/2017,71,30,43,11,0.7,57,126
10/28/2017,83,32,51,10,0.8,32,140
10/29/2017,68,49,76,9,0.9,30,99
10/30/2017,43,16,43,9,0.7,29,81
10/31/2017,71,19,44,9,0.7,57,87
11/1/2017,70,25,51,11,0.8,57,109
11/2/2017,98,49,75,13,0.9,80,113
11/3/2017,125,92,120,19,1.3,75,141
11/4/2017,40,11,33,8,0.6,20,81
11/5/2017,56,16,38,9,0.6,47,77
11/6/2017,82,34,62,11,0.8,67,83
11/7/2017,127,98,133,17,1.5,118,39
11/8/2017,130,98,141,23,1.5,74,134
11/9/2017,66,16,44,10,0.6,53,81
11/10/2017,76,43,80,13,0.9,59,62
11/11/2017,49,16,49,10,0.6,35,84
11/12/2017,58,17,55,11,0.6,49,77
11/13/2017,70,27,52,10,0.7,57,70
11/14/2017,80,44,53,11,0.8,65,63
11/15/2017,75,30,69,12,0.8,62,92
11/16/2017,58,23,30,9,0.7,46,71
11/17/2017,42,10,14,8,0.7,32,84
11/18/2017,40,15,36,7,0.6,19,81
11/19/2017,44,26,43,10,0.7,33,72
11/20/2017,48,18,27,9,0.7,40,76
11/21/2017,95,49,54,11,1,75,32
11/22/2017,88,65,66,13,1,53,86
11/23/2017,85,38,96,16,0.9,71,70
11/24/2017,113,68,119,23,1.3,107,49
11/25/2017,104,56,88,18,0.9,87,83
11/26/2017,92,68,101,19,1.1,73,75
11/27/2017,62,32,67,13,0.7,49,105
11/28/2017,103,60,81,13,1,88,70
11/29/2017,111,82,104,11,1.1,52,68
11/30/2017,38,18,47,8,0.5,29,77
12/1/2017,56,36,72,12,0.6,33,0
12/2/2017,69,30,50,12,0.9,73,0
12/3/2017,105,44,59,16,1.2,80,0
12/4/2017,160,84,87,13,1.2,50,0
12/5/2017,82,37,60,18,1,56,0
12/6/2017,109,55,79,19,1.5,93,0
12/7/2017,121,92,107,20,1.5,105,0
12/8/2017,89,30,51,14,1,51,0
12/9/2017,101,49,73,20,1.2,83,0
12/10/2017,103,76,113,23,1,84,0
12/11/2017,109,72,96,19,1.4,92,0
12/12/2017,103,20,36,10,1,44,0
12/13/2017,48,20,37,10,0.6,38,84
12/14/2017,49,20,34,8,0.6,39,62
12/15/2017,58,20,28,8,0.7,46,53
12/16/2017,82,60,66,11,1,42,62
12/17/2017,75,45,69,17,1,61,62
12/18/2017,104,49,79,20,1.2,87,50
12/19/2017,85,43,72,18,1.2,67,67
12/20/2017,102,49,85,19,1,90,44
12/21/2017,108,74,102,20,1.4,95,47
12/22/2017,107,69,87,17,1.2,95,70
12/23/2017,78,54,53,13,0.9,63,80
12/24/2017,166,126,165,27,1.5,89,75
12/25/2017,83,48,104,16,1,66,76
12/26/2017,100,39,67,16,0.9,80,62
12/27/2017,79,37,64,13,0.9,63,86
12/28/2017,70,19,27,9,0.7,56,61
12/29/2017,84,33,42,12,0.7,67,57
12/30/2017,98,73,75,12,1,66,50
12/31/2017,225,175,194,16,1.9,72,71
1/1/2018,123,93,95,13,1.1,63,72
1/2/2018,54,27,38,10,0.7,43,62
1/3/2018,38,21,31,7,0.6,26,76
1/4/2018,34,8,8,6,0.5,27,56
1/5/2018,48,26,30,8,0.8,38,54
1/6/2018,79,58,60,11,1,54,49
1/7/2018,60,21,17,8,1,48,44
1/8/2018,124,94,87,12,1.3,47,65
1/9/2018,57,28,56,13,0.8,45,62
1/10/2018,67,34,73,16,0.8,53,55
1/11/2018,70,45,74,21,0.9,56,54
1/12/2018,68,33,55,18,0.9,54,43
1/13/2018,102,52,71,19,1.1,83,33
1/14/2018,77,31,43,13,0.7,61,60
1/15/2018,90,37,45,15,0.9,72,47
1/16/2018,94,70,69,11,0.9,70,25
1/17/2018,133,101,88,11,1.2,62,39
1/18/2018,104,78,66,10,0.8,56,64
1/19/2018,160,122,127,14,1.1,74,55
1/20/2018,112,84,99,14,1,71,57
1/21/2018,68,37,47,12,0.7,54,75
1/22/2018,80,49,55,10,0.9,64,57
1/23/2018,110,83,82,9,0.9,36,61
1/24/2018,36,20,31,8,0.5,23,72
1/25/2018,39,11,12,6,0.5,31,58
1/26/2018,32,14,22,7,0.4,22,64
1/27/2018,48,16,22,7,0.5,38,51
1/28/2018,39,22,23,7,0.5,31,57
1/29/2018,128,97,97,20,1.1,48,72
1/30/2018,241,191,185,28,1.8,97,78
1/31/2018,224,174,168,25,1.7,108,59
2/1/2018,163,124,119,24,1.5,87,75
2/2/2018,135,103,111,24,1.2,83,81
2/3/2018,43,30,39,10,0.6,29,68
2/4/2018,52,36,48,15,0.7,39,71
2/5/2018,87,57,78,20,0.9,69,67
2/6/2018,59,30,42,13,0.7,47,64
2/7/2018,77,25,41,12,0.6,61,69
2/8/2018,112,84,94,17,1.1,61,60
2/9/2018,83,61,61,13,0.9,64,69
2/10/2018,88,65,89,12,0.9,46,68
2/11/2018,95,43,140,14,0.8,44,81
2/12/2018,87,33,124,15,0.7,37,77
2/13/2018,60,32,61,13,0.7,48,105
2/14/2018,69,38,74,13,0.8,55,105
2/15/2018,52,33,53,10,0.6,29,81
2/16/2018,36,19,27,8,0.5,27,72
2/17/2018,60,36,47,11,0.6,28,111
2/18/2018,41,15,29,9,0.4,25,82
2/19/2018,46,22,24,8,0.5,24,91
2/20/2018,59,42,48,9,0.6,23,89
2/21/2018,49,34,46,9,0.6,24,89
2/22/2018,65,47,57,11,0.8,39,78
2/23/2018,68,49,46,10,0.7,34,101
2/24/2018,52,36,36,10,0.6,34,90
2/25/2018,46,32,40,9,0.6,29,90
2/26/2018,54,38,44,11,0.6,43,92
2/27/2018,67,37,44,11,0.5,28,120
2/28/2018,49,32,31,8,0.6,39,73
3/1/2018,89,66,67,11,0.8,44,101
3/2/2018,41,20,36,8,0.4,28,82
3/3/2018,47,28,25,8,0.6,37,71
3/4/2018,57,30,29,10,0.6,30,108
3/5/2018,44,17,35,8,0.4,22,87
3/6/2018,47,18,38,7,0.4,21,94
3/7/2018,43,20,27,8,0.4,34,72
3/8/2018,64,46,58,8,0.6,27,84
3/9/2018,55,38,49,11,0.6,44,74
3/10/2018,88,65,67,13,0.7,55,135
3/11/2018,82,60,56,11,0.6,53,122
3/12/2018,58,23,37,14,0.5,41,109
3/13/2018,57,22,37,14,0.5,38,108
3/14/2018,38,18,33,14,0.5,29,76
3/15/2018,77,40,43,12,0.7,61,42
3/16/2018,44,22,43,8,0.4,23,87
3/17/2018,46,17,37,7,0.4,25,92
3/18/2018,64,27,47,10,0.6,51,77
3/19/2018,43,27,30,8,0.5,34,72
3/20/2018,64,46,38,9,0.8,48,60
3/21/2018,60,29,29,8,0.7,48,48
3/22/2018,104,78,78,14,0.9,67,92
3/23/2018,117,88,87,14,0.8,61,127
3/24/2018,79,58,77,15,0.7,62,116
3/25/2018,92,68,79,14,0.6,47,142
3/26/2018,80,59,65,16,0.6,50,119
3/27/2018,78,57,57,14,0.6,48,124
3/28/2018,82,43,55,12,0.6,47,138
3/29/2018,54,24,44,9,0.5,43,80
3/30/2018,53,24,33,8,0.5,42,47
3/31/2018,63,30,51,9,0.5,34,115
4/1/2018,83,39,89,14,0.5,35,139
4/2/2018,78,42,106,15,0.6,55,63
4/3/2018,66,30,81,13,0.5,30,102
4/4/2018,47,29,47,8,0.5,31,76
4/5/2018,42,25,29,7,0.5,33,69
4/6/2018,0,0,0,10,0.8,32,92
4/7/2018,63,23,76,11,0.5,35,100
4/8/2018,75,33,86,13,0.6,53,130
4/9/2018,80,37,89,14,0.6,56,135
4/10/2018,83,25,59,12,0.6,39,139
4/11/2018,98,52,145,17,0.8,63,135
4/12/2018,58,24,66,13,0.5,40,87
4/13/2018,48,19,47,10,0.5,35,96
4/14/2018,53,31,32,7,0.6,42,69
4/15/2018,83,53,102,12,0.7,43,139
4/16/2018,101,21,152,11,0.5,51,80
4/17/2018,69,33,64,13,0.5,55,105
4/18/2018,97,41,68,12,0.5,48,156
4/19/2018,92,35,70,11,0.5,44,150
4/20/2018,63,24,64,9,0.4,25,115
4/21/2018,56,26,62,11,0.5,25,98
4/22/2018,68,28,51,12,0.6,36,121
4/23/2018,52,36,37,9,0.6,39,78
4/24/2018,48,22,28,7,0.5,31,96
4/25/2018,84,47,54,12,0.7,52,140
4/26/2018,74,28,43,14,0.5,59,87
4/27/2018,146,75,90,17,0.8,60,210
4/28/2018,132,100,117,16,0.8,59,194
4/29/2018,160,79,81,15,0.7,43,225
4/30/2018,143,74,77,13,0.9,49,207
5/1/2018,76,45,48,10,0.8,53,131
5/2/2018,73,53,52,8,0.8,38,127
5/3/2018,105,31,49,10,0.5,43,165
5/4/2018,125,40,64,14,0.5,44,187
5/5/2018,63,24,39,9,0.4,35,115
5/6/2018,58,41,51,11,0.6,40,106
5/7/2018,43,29,33,8,0.6,31,85
5/8/2018,70,32,48,10,0.6,38,123
5/9/2018,73,30,54,9,0.5,33,127
5/10/2018,81,21,44,7,0.4,24,137
5/11/2018,80,20,48,9,0.4,25,135
5/12/2018,94,70,87,14,0.8,65,137
5/13/2018,95,71,52,10,0.9,41,137
5/14/2018,110,52,52,10,0.7,30,170
5/15/2018,116,47,60,14,0.6,28,177
5/16/2018,130,39,60,15,0.6,33,193
5/17/2018,107,35,57,13,0.6,41,167
5/18/2018,90,46,52,10,0.7,43,147
5/19/2018,44,27,23,6,0.5,27,88
5/20/2018,43,12,26,6,0.4,21,86
5/21/2018,39,19,34,7,0.4,26,77
5/22/2018,38,23,37,7,0.6,28,76
5/23/2018,88,32,106,11,0.6,32,145
5/24/2018,81,31,111,10,0.4,35,119
5/25/2018,45,23,43,7,0.5,36,89
5/26/2018,43,29,29,9,0.6,30,85
5/27/2018,49,34,41,9,0.5,38,76
5/28/2018,98,73,73,13,0.8,43,153
5/29/2018,132,100,88,17,0.8,62,113
5/30/2018,107,80,62,13,0.8,53,71
5/31/2018,79,48,47,10,0.6,54,134
6/1/2018,89,37,39,11,0.5,39,146
6/2/2018,89,32,38,11,0.5,30,146
6/3/2018,73,33,37,9,0.5,24,127
6/4/2018,73,35,47,10,0.5,35,127
6/5/2018,121,79,71,11,0.8,58,183
6/6/2018,134,51,45,11,0.6,28,197
6/7/2018,76,26,31,8,0.5,23,131
6/8/2018,53,23,29,10,0.5,30,103
6/9/2018,50,23,31,8,0.4,23,99
6/10/2018,67,40,47,9,0.6,34,120
6/11/2018,146,57,60,10,0.8,39,210
6/12/2018,184,61,67,14,0.8,40,249
6/13/2018,150,47,61,14,0.7,29,215
6/14/2018,76,28,34,8,0.5,19,131
6/15/2018,72,18,28,9,0.4,21,126
6/16/2018,51,22,39,8,0.4,16,101
6/17/2018,59,22,39,8,0.4,16,110
6/18/2018,62,19,31,7,0.4,14,114
6/19/2018,40,23,25,8,0.5,25,79
6/20/2018,45,13,14,7,0.4,27,90
6/21/2018,58,19,23,8,0.4,26,109
6/22/2018,42,23,27,7,0.4,26,84
6/23/2018,67,12,17,7,0.4,22,120
6/24/2018,54,19,23,6,0.4,20,104
6/25/2018,111,36,39,9,0.6,28,172
6/26/2018,121,39,53,12,0.6,33,183
6/27/2018,81,31,47,10,0.6,34,137
6/28/2018,60,29,44,10,0.6,41,112
6/29/2018,65,30,31,9,0.7,36,118
6/30/2018,38,18,24,9,0.5,30,59
7/1/2018,32,14,21,8,0.5,25,61
7/2/2018,27,14,27,7,0.4,18,50
7/3/2018,35,16,28,9,0.4,28,48
7/4/2018,67,36,40,11,0.5,34,120
7/5/2018,39,25,25,7,0.5,31,49
7/6/2018,34,14,20,8,0.5,27,55
7/7/2018,28,13,23,7,0.4,20,55
7/8/2018,79,25,42,8,0.4,22,134
7/9/2018,50,14,29,8,0.4,18,99
7/10/2018,27,10,27,7,0.3,13,49
7/11/2018,36,12,36,6,0.4,12,34
7/12/2018,34,9,27,5,0.4,12,67
7/13/2018,40,9,25,6,0.4,14,79
7/14/2018,46,9,25,7,0.4,15,92
7/15/2018,44,9,24,7,0.4,14,87
7/16/2018,37,8,21,6,0.3,13,73
7/17/2018,28,8,22,6,0.4,15,55
7/18/2018,33,8,22,6,0.3,13,65
7/19/2018,30,8,20,6,0.3,13,59
7/20/2018,38,23,38,9,0.3,16,70
7/21/2018,34,20,34,8,0.4,13,51
7/22/2018,20,9,15,5,0.3,10,39
7/23/2018,31,12,26,6,0.4,14,61
7/24/2018,108,26,39,7,0.5,25,168
7/25/2018,122,36,55,8,0.5,26,184
7/26/2018,65,35,53,8,0.7,52,114
7/27/2018,166,41,59,10,0.7,47,231
7/28/2018,124,41,52,11,0.6,29,186
7/29/2018,84,41,51,11,0.6,29,140
7/30/2018,75,32,45,7,0.6,28,130
7/31/2018,45,19,32,9,0.5,26,90
8/1/2018,55,15,25,7,0.4,19,106
8/2/2018,43,18,30,7,0.4,15,85
8/3/2018,35,11,19,4,0.5,17,69
8/4/2018,68,19,34,5,0.5,16,121
8/5/2018,79,18,32,6,0.5,17,134
8/6/2018,80,19,33,6,0.5,20,135
8/7/2018,48,15,25,6,0.4,20,95
8/8/2018,57,20,30,6,0.4,20,108
8/9/2018,69,20,34,7,0.5,21,122
8/10/2018,85,27,40,7,0.5,27,142
8/11/2018,70,22,33,6,0.6,22,123
8/12/2018,30,13,22,5,0.5,19,60
8/13/2018,34,9,24,4,0.4,11,68
8/14/2018,27,9,27,5,0.4,14,34
8/15/2018,28,13,27,7,0.4,16,55
8/16/2018,27,8,18,5,0.4,13,53
8/17/2018,35,8,19,4,0.4,12,70
8/18/2018,29,8,19,5,0.4,13,58
8/19/2018,30,7,21,4,0.4,12,60
8/20/2018,47,10,25,5,0.4,15,94
8/21/2018,44,16,23,6,0.5,35,59
8/22/2018,44,14,26,6,0.5,20,88
8/23/2018,90,23,48,7,0.6,23,148
8/24/2018,125,29,57,12,0.9,34,187
8/25/2018,43,17,26,5,0.5,23,85
8/26/2018,31,13,21,4,0.5,24,61
8/27/2018,36,9,24,4,0.4,16,71
8/28/2018,37,8,22,4,0.4,14,74
8/29/2018,38,9,24,5,0.4,15,75
8/30/2018,48,11,28,5,0.4,16,95
8/31/2018,100,16,35,6,0.5,22,159
9/1/2018,61,33,42,6,0.7,40,113
9/2/2018,81,37,39,6,0.7,36,137
9/3/2018,88,42,44,6,0.8,33,145
9/4/2018,116,42,61,10,1,42,177
9/5/2018,146,36,62,11,0.8,37,210
9/6/2018,140,53,77,10,0.8,30,204
9/7/2018,90,67,61,9,1.2,62,65
9/8/2018,49,15,30,6,0.5,31,98
9/9/2018,61,14,30,6,0.5,29,113
9/10/2018,59,13,28,6,0.5,27,110
9/11/2018,43,11,35,6,0.5,30,86
9/12/2018,38,12,26,6,0.5,30,72
9/13/2018,42,13,27,6,0.6,33,61
9/14/2018,53,12,26,7,0.5,42,76
9/15/2018,48,15,26,8,0.5,27,96
9/16/2018,26,11,25,6,0.5,18,51
9/17/2018,44,8,18,6,0.6,35,33
9/18/2018,47,15,27,8,0.6,37,57
9/19/2018,93,28,42,7,0.7,44,151
9/20/2018,73,29,38,6,0.8,58,61
9/21/2018,58,30,31,6,0.9,46,75
9/22/2018,60,22,33,7,0.7,48,93
9/23/2018,105,49,69,10,0.9,42,165
9/24/2018,100,26,48,8,0.6,20,160
9/25/2018,53,10,28,6,0.4,20,103
9/26/2018,59,10,30,6,0.4,21,110
9/27/2018,53,10,28,6,0.4,23,103
9/28/2018,54,11,29,6,0.5,31,104
9/29/2018,53,11,30,6,0.4,21,103
9/30/2018,130,36,67,10,0.7,32,193
10/1/2018,65,18,53,11,0.6,31,118
10/2/2018,81,23,48,9,0.6,41,137
10/3/2018,79,22,38,7,0.5,37,134
10/4/2018,77,17,35,7,0.4,19,132
10/5/2018,59,16,31,6,0.5,16,110
10/6/2018,69,24,47,8,0.6,29,122
10/7/2018,124,29,61,8,0.6,34,186
10/8/2018,58,16,45,7,0.5,28,109
10/9/2018,72,26,54,7,0.6,57,81
10/10/2018,43,23,43,7,0.6,26,80
10/11/2018,49,16,37,7,0.4,30,97
10/12/2018,53,17,35,7,0.5,42,98
10/13/2018,63,18,32,6,0.4,43,115
10/14/2018,45,13,25,6,0.4,32,89
10/15/2018,56,12,26,7,0.4,32,107
10/16/2018,53,22,29,6,0.5,36,103
10/17/2018,85,42,57,7,0.7,60,142
10/18/2018,48,19,32,6,0.4,30,96
10/19/2018,59,16,37,7,0.5,47,98
10/20/2018,53,12,29,6,0.4,42,90
10/21/2018,52,15,28,7,0.4,41,99
10/22/2018,62,15,17,5,0.5,49,70
10/23/2018,78,57,56,9,0.8,45,114
10/24/2018,82,60,77,9,0.8,60,137
10/25/2018,66,25,58,9,0.5,35,119
10/26/2018,75,55,76,10,0.7,43,123
10/27/2018,72,31,87,13,0.6,57,76
10/28/2018,92,39,78,15,0.7,73,110
10/29/2018,95,53,92,18,0.8,76,107
10/30/2018,55,19,40,8,0.5,41,106
10/31/2018,57,18,33,8,0.5,28,108
11/1/2018,44,11,21,6,0.4,28,87
11/2/2018,54,14,28,6,0.4,43,83
11/3/2018,52,16,28,6,0.5,41,95
11/4/2018,54,22,27,7,0.6,43,104
11/5/2018,47,25,27,7,0.4,30,94
11/6/2018,52,20,26,6,0.5,32,102
11/7/2018,63,35,20,6,0.7,50,48
11/8/2018,45,18,16,5,0.8,36,32
11/9/2018,73,53,46,9,0.8,53,74
11/10/2018,58,41,34,6,0.6,45,99
11/11/2018,69,50,48,7,0.7,50,61
11/12/2018,43,16,22,5,0.5,29,86
11/13/2018,57,24,40,6,0.5,45,90
11/14/2018,70,32,51,6,0.6,56,97
11/15/2018,88,23,37,6,0.6,70,48
11/16/2018,43,21,21,5,0.5,34,77
11/17/2018,42,15,31,5,0.4,25,83
11/18/2018,43,15,16,5,0.5,34,60
11/19/2018,102,76,70,10,1,61,55
11/20/2018,80,52,57,9,0.9,64,84
11/21/2018,50,11,13,5,0.4,40,77
11/22/2018,50,32,48,7,0.6,40,84
11/23/2018,84,39,55,7,0.6,67,84
11/24/2018,79,50,64,8,0.7,63,72
11/25/2018,108,81,73,8,0.9,79,115
11/26/2018,103,54,56,7,0.8,85,83
11/27/2018,103,77,76,8,1.1,82,81
11/28/2018,163,124,110,10,1.4,98,69
11/29/2018,139,106,107,9,1.3,102,117
11/30/2018,88,58,108,7,0.7,70,95
12/1/2018,74,29,66,7,0.5,59,75
12/2/2018,58,28,38,6,0.5,46,51
12/3/2018,78,53,42,6,0.8,62,20
12/4/2018,44,23,26,5,0.6,35,54
12/5/2018,54,14,57,5,0.4,30,63
12/6/2018,37,12,24,5,0.4,29,62
12/7/2018,37,20,30,6,0.5,29,55
12/8/2018,44,25,40,7,0.6,35,47
12/9/2018,57,28,34,6,0.6,45,35
12/10/2018,37,7,14,5,0.4,29,59
12/11/2018,44,16,19,5,0.5,35,60
12/12/2018,95,71,71,11,1.1,50,57
12/13/2018,94,70,78,14,1,71,48
12/14/2018,73,51,67,10,0.8,58,61
12/15/2018,68,13,25,6,0.4,54,44
12/16/2018,94,70,75,9,1,67,51
12/17/2018,135,103,127,13,1.2,88,60
12/18/2018,117,88,131,15,1.4,106,52
12/19/2018,112,54,102,19,1,104,31
12/20/2018,84,26,38,8,0.6,67,60
12/21/2018,95,45,57,7,0.8,76,19
12/22/2018,60,35,26,6,0.7,48,54
12/23/2018,60,43,56,7,0.8,35,87
12/24/2018,52,26,53,7,0.6,39,79
12/25/2018,62,16,34,7,0.4,49,47
12/26/2018,36,12,15,5,0.5,28,72
12/27/2018,36,16,36,6,0.4,21,67
12/28/2018,46,26,46,7,0.5,27,60
12/29/2018,49,31,49,9,0.7,38,54
12/30/2018,52,28,40,8,0.6,41,44
12/31/2018,47,27,29,6,0.5,37,54
1/1/2019,40,28,35,7,0.5,29,68
1/2/2019,87,64,72,13,0.9,45,68
1/3/2019,73,47,53,9,0.7,58,55
1/4/2019,75,18,22,6,0.6,60,47
1/5/2019,64,32,33,6,0.7,51,42
1/6/2019,55,25,33,6,0.5,44,57
1/7/2019,63,27,34,6,0.6,50,48
1/8/2019,75,55,64,9,0.9,42,79
1/9/2019,55,22,28,6,0.6,44,51
1/10/2019,59,16,20,5,0.5,47,38
1/11/2019,70,15,19,6,0.6,56,31
1/12/2019,65,42,54,8,1.2,52,16
1/13/2019,104,78,94,8,1.2,58,41
1/14/2019,94,70,72,8,1,66,77
1/15/2019,135,103,100,9,1.2,50,92
1/16/2019,55,30,59,8,0.6,44,55
1/17/2019,105,79,122,14,1.2,86,41
1/18/2019,109,82,102,11,1,74,83
1/19/2019,103,77,95,11,1.2,79,54
1/20/2019,128,97,60,11,1,51,75
1/21/2019,99,55,81,13,1,79,55
1/22/2019,110,83,105,15,1.2,88,63
1/23/2019,128,97,114,16,1.2,109,78
1/24/2019,127,96,100,14,1.2,90,89
1/25/2019,68,29,42,9,0.6,54,85
1/26/2019,34,14,34,6,0.5,24,66
1/27/2019,57,18,37,7,0.5,45,80
1/28/2019,82,55,53,10,0.9,65,46
1/29/2019,65,40,70,7,0.7,52,64
1/30/2019,78,24,54,7,0.6,62,41
1/31/2019,41,12,30,5,0.5,22,82
