Datetime,AQI,PM2.5,PM10,SO2,CO,NO2,O3_8h
2/17/2016,79,58,71,31,1,59,89
2/18/2016,93,69,84,22,0.8,57,109
2/19/2016,103,69,83,19,0.9,85,61
2/20/2016,103,77,110,23,0.8,42,102
2/21/2016,82,40,114,15,0.7,32,102
2/22/2016,63,37,76,11,0.6,33,103
2/23/2016,70,47,89,12,0.7,26,93
2/24/2016,50,33,49,15,0.6,26,100
2/25/2016,62,44,60,16,0.7,39,110
2/26/2016,95,71,99,18,0.8,59,108
2/27/2016,79,58,99,18,0.8,54,104
2/28/2016,85,63,104,18,0.8,41,98
2/29/2016,70,51,69,18,0.7,33,106
3/1/2016,53,32,55,15,0.6,39,94
3/2/2016,90,67,92,18,0.8,52,120
3/3/2016,101,66,109,22,0.9,82,91
3/4/2016,53,28,55,17,0.5,41,102
3/5/2016,110,83,123,19,0.9,48,145
3/6/2016,108,81,91,12,0.8,37,75
3/7/2016,97,72,100,14,0.9,52,82
3/8/2016,46,14,20,10,0.5,25,91
3/9/2016,49,16,45,10,0.5,18,97
3/10/2016,45,18,35,13,0.5,24,90
3/11/2016,83,55,77,24,0.9,66,93
3/12/2016,107,80,99,23,0.8,41,149
3/13/2016,73,53,63,14,0.7,43,124
3/14/2016,89,66,86,17,0.8,36,125
3/15/2016,59,38,48,14,0.5,38,110
3/16/2016,67,42,67,14,0.6,53,97
3/17/2016,68,36,45,12,0.6,54,74
3/18/2016,118,89,116,23,1.2,87,52
3/19/2016,67,31,39,12,0.6,53,65
3/20/2016,69,50,78,17,0.6,53,115
3/21/2016,72,52,68,15,0.6,41,116
3/22/2016,58,36,51,15,0.5,46,96
3/23/2016,66,30,57,14,0.4,29,119
3/24/2016,55,20,53,12,0.4,20,106
3/25/2016,72,30,61,18,0.5,34,126
3/26/2016,78,53,82,19,0.6,62,129
3/27/2016,134,102,130,25,0.9,61,118
3/28/2016,117,88,117,26,0.8,69,161
3/29/2016,95,66,107,22,0.8,76,137
3/30/2016,98,72,109,23,0.8,78,109
3/31/2016,87,48,77,12,0.7,69,98
4/1/2016,113,85,102,13,0.8,55,152
4/2/2016,74,54,59,12,0.6,46,114
4/3/2016,73,53,65,11,0.8,50,93
4/4/2016,53,21,47,14,0.5,37,103
4/5/2016,60,24,49,16,0.5,48,82
4/6/2016,68,33,42,11,0.7,54,74
4/7/2016,89,60,93,15,1.1,71,44
4/8/2016,79,40,43,13,0.6,63,89
4/9/2016,74,44,68,14,0.6,59,116
4/10/2016,93,69,98,17,0.7,61,83
4/11/2016,59,38,58,14,0.6,47,104
4/12/2016,68,49,84,11,0.7,51,90
4/13/2016,117,88,102,16,1,69,139
4/14/2016,159,121,146,14,0.9,60,161
4/15/2016,97,72,112,15,0.6,49,130
4/16/2016,57,29,47,12,0.6,36,108
4/17/2016,72,52,78,18,0.8,36,125
4/18/2016,81,27,52,13,0.4,40,137
4/19/2016,80,25,50,12,0.4,31,135
4/20/2016,59,24,43,11,0.6,40,110
4/21/2016,117,63,114,15,1,64,178
4/22/2016,156,99,124,20,1.1,61,221
4/23/2016,105,36,42,10,0.6,24,165
4/24/2016,85,50,100,12,0.7,41,141
4/25/2016,69,38,88,11,0.6,51,99
4/26/2016,59,35,62,11,0.6,47,91
4/27/2016,80,59,101,13,0.8,45,105
4/28/2016,120,91,126,22,1.2,50,172
4/29/2016,150,115,144,27,1.3,78,208
4/30/2016,146,74,91,18,0.7,43,210
5/1/2016,112,47,70,13,0.7,31,173
5/2/2016,65,38,52,11,0.7,36,118
5/3/2016,89,33,93,13,0.6,38,146
5/4/2016,125,48,111,17,0.7,60,187
5/5/2016,63,39,70,10,0.7,48,115
5/6/2016,115,74,100,15,0.9,38,176
5/7/2016,143,61,235,10,0.5,32,130
5/8/2016,62,26,73,11,0.5,30,106
5/9/2016,65,46,62,10,0.6,52,90
5/10/2016,59,29,51,11,0.6,47,94
5/11/2016,163,89,110,20,1,58,228
5/12/2016,133,58,82,15,0.7,34,196
5/13/2016,90,67,85,10,0.8,33,148
5/14/2016,63,35,48,8,0.5,24,115
5/15/2016,51,32,51,10,0.9,34,83
5/16/2016,96,43,62,16,0.8,42,155
5/17/2016,95,30,51,13,0.5,45,153
5/18/2016,121,43,71,14,0.5,33,183
5/19/2016,110,49,65,16,0.6,25,170
5/20/2016,65,24,42,10,0.5,24,118
5/21/2016,53,16,23,7,0.6,32,103
5/22/2016,77,56,76,9,0.8,39,99
5/23/2016,114,86,108,14,0.9,59,153
5/24/2016,122,92,102,18,1,50,145
5/25/2016,121,79,82,11,0.9,31,183
5/26/2016,133,101,121,11,1.2,65,118
5/27/2016,53,32,28,9,0.7,42,85
5/28/2016,68,30,32,9,0.8,54,88
5/29/2016,79,48,69,10,1.3,63,42
5/30/2016,78,57,71,10,0.7,42,130
5/31/2016,90,67,89,12,0.8,41,145
6/1/2016,78,24,48,9,0.6,27,133
6/2/2016,69,37,46,10,0.5,29,122
6/3/2016,67,19,28,8,0.5,28,120
6/4/2016,65,40,55,10,0.8,32,118
6/5/2016,65,29,32,10,0.6,27,117
6/6/2016,64,37,50,9,0.5,25,116
6/7/2016,58,41,54,9,0.6,32,98
6/8/2016,50,35,50,9,0.6,37,77
6/9/2016,46,29,38,9,0.5,29,91
6/10/2016,54,32,46,8,0.5,20,104
6/11/2016,73,53,78,11,0.7,37,117
6/12/2016,49,21,18,9,0.5,34,97
6/13/2016,69,31,44,12,0.6,35,122
6/14/2016,131,40,58,12,0.6,31,194
6/15/2016,117,67,92,13,0.9,44,178
6/16/2016,139,106,126,14,1.2,59,115
6/17/2016,128,63,69,12,0.8,35,190
6/18/2016,95,29,44,12,0.7,30,153
6/19/2016,71,27,46,13,0.7,34,125
6/20/2016,43,17,26,9,0.6,34,48
6/21/2016,110,47,75,12,0.8,51,171
6/22/2016,63,37,56,10,0.8,50,79
6/23/2016,119,55,78,12,0.8,43,180
6/24/2016,68,40,69,12,0.7,32,121
6/25/2016,58,41,43,7,0.8,44,101
6/26/2016,88,33,32,7,0.6,22,145
6/27/2016,73,30,42,7,0.8,45,127
6/28/2016,85,63,68,10,1.3,67,65
6/29/2016,52,30,38,9,0.8,41,59
6/30/2016,110,34,59,11,0.7,34,170
7/1/2016,58,30,53,11,0.8,38,109
7/2/2016,52,19,36,10,0.8,41,69
7/3/2016,74,54,74,11,0.9,42,109
7/4/2016,93,36,48,11,0.7,28,151
7/5/2016,87,23,42,10,0.7,33,144
7/6/2016,47,22,45,9,0.6,30,94
7/7/2016,32,12,32,8,0.5,16,48
7/8/2016,24,9,24,10,0.5,16,47
7/9/2016,27,11,27,9,0.5,16,52
7/10/2016,30,15,30,8,0.6,21,55
7/11/2016,37,23,35,7,0.6,29,71
