"","Datetime","AQI","PM2.5","PM10","SO2","CO","NO2","O3_8h","kmean"
"114",2016-01-22,53,37,44,15,0.8,29,74,2
"115",2016-01-23,57,40,55,22,0.8,24,75,4
"116",2016-01-24,66,28,81,22,0.7,20,71,4
"117",2016-01-25,65,34,78,22,0.8,52,61,4
"118",2016-01-26,104,54,89,25,1,87,61,3
"119",2016-01-27,104,40,56,16,1,87,29,4
"120",2016-01-28,82,22,26,11,1,65,37,4
"121",2016-01-29,46,24,46,12,0.8,36,73,2
"122",2016-01-30,55,32,60,14,0.7,31,73,2
"123",2016-01-31,75,55,80,19,1,34,84,4
"124",2016-02-01,63,45,49,17,0.9,28,79,4
"125",2016-02-02,115,87,103,32,1.4,58,79,3
"126",2016-02-03,75,53,67,22,1,60,74,4
"127",2016-02-04,80,35,46,19,0.8,64,63,4
"128",2016-02-05,178,134,142,34,1.5,78,122,3
"129",2016-02-06,77,56,72,23,1,34,98,4
"130",2016-02-07,80,59,90,22,1,48,119,4
"131",2016-02-08,114,86,140,24,0.9,45,121,3
"132",2016-02-09,100,75,112,26,1,49,124,3
"133",2016-02-10,75,32,55,19,0.6,29,129,2
"134",2016-02-11,62,20,32,15,0.6,22,114,2
"135",2016-02-12,42,25,31,12,0.7,27,84,2
"136",2016-02-13,75,55,70,11,1.4,30,56,4
"137",2016-02-14,48,33,42,12,0.7,20,82,2
"138",2016-02-15,45,30,43,19,0.7,28,89,2
"139",2016-02-16,54,36,51,22,0.7,43,90,4
"140",2016-02-17,79,58,71,31,1,59,89,4
"141",2016-02-18,93,69,84,22,0.8,57,109,4
"142",2016-02-19,103,69,83,19,0.9,85,61,4
"143",2016-02-20,103,77,110,23,0.8,42,102,4
"144",2016-02-21,82,40,114,15,0.7,32,102,4
"145",2016-02-22,63,37,76,11,0.6,33,103,2
"146",2016-02-23,70,47,89,12,0.7,26,93,4
"147",2016-02-24,50,33,49,15,0.6,26,100,2
"148",2016-02-25,62,44,60,16,0.7,39,110,4
"149",2016-02-26,95,71,99,18,0.8,59,108,4
"150",2016-02-27,79,58,99,18,0.8,54,104,4
"151",2016-02-28,85,63,104,18,0.8,41,98,4
"152",2016-02-29,70,51,69,18,0.7,33,106,4
"153",2016-03-01,53,32,55,15,0.6,39,94,2
"154",2016-03-02,90,67,92,18,0.8,52,120,4
"155",2016-03-03,101,66,109,22,0.9,82,91,3
"156",2016-03-04,53,28,55,17,0.5,41,102,2
"157",2016-03-05,110,83,123,19,0.9,48,145,3
"158",2016-03-06,108,81,91,12,0.8,37,75,4
"159",2016-03-07,97,72,100,14,0.9,52,82,4
"160",2016-03-08,46,14,20,10,0.5,25,91,2
"161",2016-03-09,49,16,45,10,0.5,18,97,2
"162",2016-03-10,45,18,35,13,0.5,24,90,2
"163",2016-03-11,83,55,77,24,0.9,66,93,4
"164",2016-03-12,107,80,99,23,0.8,41,149,1
"165",2016-03-13,73,53,63,14,0.7,43,124,4
"166",2016-03-14,89,66,86,17,0.8,36,125,4
"167",2016-03-15,59,38,48,14,0.5,38,110,2
